Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,TotalIncome,LogIncome,LogLoanAmount,EMI,LoanToIncomeRatio,IncomePerDependent,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
0,7660,0.0,104.0,360.0,0.0,7660.0,8.94389780251682,4.653960350157523,0.28888888888888886,0.013577023498694517,7660.0,True,True,True,False,False,True,False
1,5955,5625.0,315.0,360.0,1.0,11580.0,9.357121103184378,5.755742213586912,0.875,0.027202072538860103,5790.0,True,True,False,False,False,True,True
0,2600,1911.0,116.0,360.0,0.0,4511.0,8.414495793177895,4.762173934797756,0.32222222222222224,0.025714919086677012,4511.0,True,True,True,False,True,False,False
2,3365,1917.0,112.0,360.0,0.0,5282.0,8.572249397164315,4.727387818712341,0.3111111111111111,0.021204089360090876,1760.6666666666667,True,True,True,False,False,False,False
1,3717,2925.0,151.0,360.0,1.0,6642.0,8.80131894766524,5.0238805208462765,0.41944444444444445,0.02273411623005119,3321.0,True,True,False,False,True,False,False
0,9560,0.0,191.0,360.0,1.0,9560.0,9.165447603085447,5.2574953720277815,0.5305555555555556,0.01997907949790795,9560.0,True,True,False,True,True,False,True
0,2799,2253.0,122.0,360.0,1.0,5052.0,8.527737405291909,4.812184355372417,0.3388888888888889,0.02414885193982581,5052.0,True,True,False,False,True,False,True
2,4226,1040.0,110.0,360.0,1.0,5266.0,8.569216219483389,4.709530201312334,0.3055555555555556,0.020888720091150777,1755.3333333333333,True,True,True,False,False,True,True
0,1442,0.0,35.0,360.0,1.0,1442.0,7.274479558773871,3.58351893845611,0.09722222222222222,0.024271844660194174,1442.0,True,False,True,False,False,True,False
2,3750,2083.0,120.0,360.0,1.0,5833.0,8.671458150427666,4.795790545596741,0.3333333333333333,0.020572604148808505,1944.3333333333333,False,False,False,False,True,False,True
1,4166,3369.0,201.0,360.0,1.0,7535.0,8.927446816256198,5.308267697401205,0.5583333333333333,0.026675514266755143,3767.5,True,True,False,False,False,True,False
0,3167,0.0,74.0,360.0,1.0,3167.0,8.060855752934316,4.31748811353631,0.20555555555555555,0.023365961477739186,3167.0,True,False,False,False,False,True,False
1,4692,0.0,106.0,360.0,1.0,4692.0,8.453827315794417,4.672828834461906,0.29444444444444445,0.022591645353793693,2346.0,True,False,False,True,False,False,False
0,3500,1667.0,114.0,360.0,1.0,5167.0,8.550241045462437,4.74493212836325,0.31666666666666665,0.022063092703696534,5167.0,True,True,False,False,True,False,True
3,12500,3000.0,320.0,360.0,1.0,15500.0,9.648659816955295,5.771441123130016,0.8888888888888888,0.02064516129032258,3875.0,True,False,False,False,False,False,False
0,2275,2067.0,128.0,360.0,1.0,4342.0,8.376320632534823,4.859812404361672,0.35555555555555557,0.02947950253339475,4342.0,True,True,False,False,False,True,True
0,1828,1330.0,100.0,360.0,0.0,3158.0,8.058010800802085,4.61512051684126,0.2777777777777778,0.031665611146295125,3158.0,True,True,False,False,False,True,False
0,3667,1459.0,144.0,360.0,1.0,5126.0,8.5422759717837,4.976733742420574,0.4,0.02809207959422552,5126.0,False,True,False,False,True,False,True
0,4166,7210.0,184.0,360.0,1.0,11376.0,9.339349052539717,5.220355825078324,0.5111111111111111,0.01617440225035162,11376.0,True,False,False,False,False,True,True
0,3748,1668.0,110.0,360.0,1.0,5416.0,8.597297435657898,4.709530201312334,0.3055555555555556,0.02031019202363368,5416.0,True,False,True,False,True,False,True
0,3600,0.0,80.0,360.0,1.0,3600.0,8.188966863648876,4.394449154672439,0.2222222222222222,0.022222222222222223,3600.0,True,False,False,False,False,True,False
0,1800,1213.0,47.0,360.0,1.0,3013.0,8.01102337918644,3.871201010907891,0.13055555555555556,0.015599070693660804,3013.0,True,False,False,False,False,True,True
0,2400,0.0,75.0,360.0,1.0,2400.0,7.783640596221253,4.330733340286331,0.20833333333333334,0.03125,2400.0,True,True,False,False,False,True,True
0,3941,2336.0,134.0,360.0,1.0,6277.0,8.744806737401898,4.90527477843843,0.37222222222222223,0.021347777600764697,6277.0,True,True,False,False,True,False,True
0,4695,0.0,96.0,360.0,1.0,4695.0,8.454466361507933,4.574710978503383,0.26666666666666666,0.020447284345047924,4695.0,True,True,True,True,False,True,True
0,3410,0.0,88.0,360.0,1.0,3410.0,8.134760782418645,4.48863636973214,0.24444444444444444,0.025806451612903226,3410.0,False,False,False,False,False,True,True
1,5649,0.0,44.0,360.0,1.0,5649.0,8.639410824140487,3.8066624897703196,0.12222222222222222,0.007788989201628607,2824.5,True,True,False,False,False,True,True
0,5821,0.0,144.0,360.0,1.0,5821.0,8.669399124305569,4.976733742420574,0.4,0.02473801752276241,5821.0,True,True,False,False,False,True,True
0,2645,3440.0,120.0,360.0,0.0,6085.0,8.713746330456916,4.795790545596741,0.3333333333333333,0.01972062448644207,6085.0,False,True,False,False,False,True,False
0,4000,2275.0,144.0,360.0,1.0,6275.0,8.744488113852924,4.976733742420574,0.4,0.022948207171314742,6275.0,False,False,False,False,True,False,True
0,1928,1644.0,100.0,360.0,1.0,3572.0,8.181160858023409,4.61512051684126,0.2777777777777778,0.027995520716685332,3572.0,False,True,True,False,True,False,True
0,3086,0.0,120.0,360.0,1.0,3086.0,8.034955024502159,4.795790545596741,0.3333333333333333,0.03888528839922229,3086.0,False,False,False,False,True,False,True
0,4230,0.0,112.0,360.0,1.0,4230.0,8.350193650720067,4.727387818712341,0.3111111111111111,0.026477541371158392,4230.0,False,False,False,False,True,False,False
2,4616,0.0,134.0,360.0,1.0,4616.0,8.43750042250699,4.90527477843843,0.37222222222222223,0.02902946273830156,1538.6666666666667,True,True,False,False,False,True,False
1,11500,0.0,286.0,360.0,0.0,11500.0,9.350189267092581,5.659482215759621,0.7944444444444444,0.024869565217391306,5750.0,False,True,False,True,False,True,False
2,2708,1167.0,97.0,360.0,1.0,3875.0,8.262558973010657,4.584967478670572,0.26944444444444443,0.02503225806451613,1291.6666666666667,True,True,False,False,True,False,True
0,2132,1591.0,96.0,360.0,1.0,3723.0,8.222553638396958,4.574710978503383,0.26666666666666666,0.0257856567284448,3723.0,True,True,False,False,True,False,True
0,3366,2200.0,135.0,360.0,1.0,5566.0,8.624611588183507,4.912654885736052,0.375,0.024254401724757457,5566.0,True,True,False,False,False,False,False
1,8080,2250.0,180.0,360.0,1.0,10330.0,9.242904362849446,5.198497031265826,0.5,0.017424975798644726,5165.0,True,True,False,False,False,True,True
2,3357,2859.0,144.0,360.0,1.0,6216.0,8.735042754269337,4.976733742420574,0.4,0.023166023166023165,2072.0,True,True,True,False,False,True,True
0,2500,3796.0,120.0,360.0,1.0,6296.0,8.747828608488742,4.795790545596741,0.3333333333333333,0.01905972045743329,6296.0,True,True,False,False,False,True,True
3,3029,0.0,99.0,360.0,1.0,3029.0,8.016317898503415,4.605170185988092,0.275,0.03268405414328161,757.25,True,True,False,False,False,True,True
0,2609,3449.0,165.0,180.0,0.0,6058.0,8.70930004894499,5.111987788356544,0.9166666666666666,0.02723671178606801,6058.0,True,True,True,True,False,False,False
1,4945,0.0,128.0,360.0,0.0,4945.0,8.506334448081361,4.859812404361672,0.35555555555555557,0.025884732052578362,2472.5,True,True,False,False,False,False,False
0,4166,0.0,116.0,360.0,0.0,4166.0,8.334951631422454,4.762173934797756,0.32222222222222224,0.02784445511281805,4166.0,False,False,False,False,True,False,False
0,5726,4595.0,258.0,360.0,1.0,10321.0,9.242032818708672,5.556828061699537,0.7166666666666667,0.024997577754093597,10321.0,True,True,False,False,True,False,False
0,3200,2254.0,126.0,180.0,0.0,5454.0,8.604287898267172,4.844187086458591,0.7,0.0231023102310231,5454.0,True,False,True,False,False,True,False
1,10750,0.0,312.0,360.0,1.0,10750.0,9.282754052485227,5.746203190540153,0.8666666666666667,0.02902325581395349,5375.0,True,True,False,False,False,True,True
3,7100,0.0,125.0,60.0,1.0,7100.0,8.867990898182093,4.836281906951478,2.0833333333333335,0.017605633802816902,1775.0,True,True,True,True,False,True,True
0,4300,0.0,136.0,360.0,0.0,4300.0,8.366602832783736,4.919980925828125,0.37777777777777777,0.03162790697674418,4300.0,False,False,False,False,True,False,False
0,3208,3066.0,172.0,360.0,1.0,6274.0,8.744328763999984,5.153291594497779,0.4777777777777778,0.027414727446605038,6274.0,True,True,False,False,False,True,True
2,1875,1875.0,97.0,360.0,1.0,3750.0,8.229777750081887,4.584967478670572,0.26944444444444443,0.025866666666666666,1250.0,True,True,True,True,True,False,True
0,3500,0.0,81.0,300.0,1.0,3500.0,8.160803920954665,4.406719247264253,0.27,0.023142857142857142,3500.0,True,False,False,False,True,False,True
3,4755,0.0,95.0,360.0,0.0,4755.0,8.467162257810672,4.564348191467836,0.2638888888888889,0.019978969505783387,1188.75,True,True,True,False,True,False,False
3,5266,1774.0,187.0,360.0,1.0,7040.0,8.859505484519133,5.236441962829949,0.5194444444444445,0.0265625,1760.0,True,True,False,True,True,False,True
0,3750,0.0,113.0,480.0,1.0,3750.0,8.229777750081887,4.736198448394496,0.23541666666666666,0.030133333333333335,3750.0,True,False,False,False,False,True,False
0,3750,4750.0,176.0,360.0,1.0,8500.0,9.04793908261736,5.176149732573829,0.4888888888888889,0.020705882352941178,8500.0,True,False,False,False,False,True,False
1,1000,3022.0,110.0,360.0,1.0,4022.0,8.299783171949787,4.709530201312334,0.3055555555555556,0.02734957732471407,2011.0,True,True,False,True,False,True,False
3,3167,4000.0,180.0,300.0,0.0,7167.0,8.877381954654766,5.198497031265826,0.6,0.025115110925073254,1791.75,True,True,False,False,True,False,False
3,3333,2166.0,130.0,360.0,1.0,5499.0,8.612503371220562,4.875197323201151,0.3611111111111111,0.02364066193853428,1374.75,True,True,True,True,True,False,True
0,3846,0.0,111.0,360.0,1.0,3846.0,8.255048902752295,4.718498871295094,0.30833333333333335,0.028861154446177848,3846.0,False,False,False,False,True,False,True
1,2395,0.0,128.0,360.0,1.0,2395.0,7.78155595923534,4.859812404361672,0.35555555555555557,0.05344467640918581,1197.5,True,True,False,True,True,False,True
2,1378,1881.0,167.0,360.0,1.0,3259.0,8.089482474360754,5.123963979403259,0.4638888888888889,0.0512427124884934,1086.3333333333333,False,True,False,False,False,True,False
0,6000,2250.0,265.0,360.0,1.0,8250.0,9.018089684104343,5.583496308781699,0.7361111111111112,0.03212121212121212,8250.0,True,True,False,False,True,False,False
1,3988,0.0,50.0,240.0,1.0,3988.0,8.291295851905407,3.9318256327243257,0.20833333333333334,0.012537612838515547,1994.0,True,True,False,False,False,True,True
0,2366,2531.0,136.0,360.0,1.0,4897.0,8.496582237512113,4.919980925828125,0.37777777777777777,0.027772105370635083,4897.0,True,False,False,False,True,False,True
2,3333,2000.0,99.0,360.0,1.0,5333.0,8.58185670474196,4.605170185988092,0.275,0.0185636602287643,1777.6666666666667,True,True,True,False,True,False,True
0,2500,2118.0,104.0,360.0,1.0,4618.0,8.437933510430605,4.653960350157523,0.28888888888888886,0.02252057167605024,4618.0,True,True,False,False,True,False,True
0,8566,0.0,210.0,360.0,1.0,8566.0,9.055672891964043,5.351858133476067,0.5833333333333334,0.02451552650011674,8566.0,True,False,False,False,False,True,True
0,5695,4167.0,175.0,360.0,1.0,9862.0,9.196545660953994,5.170483995038151,0.4861111111111111,0.017744879334820524,9862.0,True,True,False,False,True,False,True
0,2958,2900.0,131.0,360.0,1.0,5858.0,8.675734219544788,4.882801922586371,0.3638888888888889,0.022362581085694777,5858.0,True,True,False,False,True,False,True
2,6250,5654.0,188.0,180.0,1.0,11904.0,9.384713758920963,5.241747015059643,1.0444444444444445,0.015793010752688172,3968.0,True,True,False,False,True,False,True
2,3273,1820.0,81.0,360.0,1.0,5093.0,8.535818655539403,4.406719247264253,0.225,0.015904182210877676,1697.6666666666667,True,True,True,False,False,True,True
0,4133,0.0,122.0,360.0,1.0,4133.0,8.327000740241713,4.812184355372417,0.3388888888888889,0.029518509557222357,4133.0,True,False,False,False,True,False,True
0,3620,0.0,25.0,120.0,1.0,3620.0,8.19450550976564,3.258096538021482,0.20833333333333334,0.006906077348066298,3620.0,True,False,True,False,True,False,True
0,6782,0.0,128.0,360.0,1.0,6782.0,8.82217476094608,4.859812404361672,0.35555555555555557,0.018873488646416987,6782.0,True,False,False,False,False,True,False
0,2484,2302.0,137.0,360.0,1.0,4786.0,8.473659189392508,4.927253685157205,0.38055555555555554,0.028625156707062265,4786.0,False,True,False,False,True,False,True
0,1977,997.0,50.0,360.0,1.0,2974.0,7.99799931797973,3.9318256327243257,0.1388888888888889,0.016812373907195696,2974.0,True,True,False,False,True,False,True
0,4188,0.0,115.0,180.0,1.0,4188.0,8.340217320947035,4.7535901911063645,0.6388888888888888,0.027459407831900668,4188.0,True,True,True,False,True,False,True
0,1759,3541.0,131.0,360.0,1.0,5300.0,8.575650760987806,4.882801922586371,0.3638888888888889,0.02471698113207547,5300.0,True,True,False,False,True,False,True
2,4288,3263.0,133.0,180.0,1.0,7551.0,8.929567707825337,4.897839799950911,0.7388888888888889,0.01761356111773275,2517.0,True,True,True,False,False,True,True
0,4843,3806.0,151.0,360.0,1.0,8649.0,9.065314599925925,5.0238805208462765,0.41944444444444445,0.017458665741704245,8649.0,True,False,False,False,True,False,True
0,13650,0.0,128.0,360.0,1.0,13650.0,9.521568058002977,4.859812404361672,0.35555555555555557,0.009377289377289377,13650.0,True,True,False,False,False,True,True
0,4652,3583.0,128.0,360.0,1.0,8235.0,9.01627006814768,4.859812404361672,0.35555555555555557,0.01554341226472374,8235.0,True,True,False,False,True,False,True
0,3816,754.0,160.0,360.0,1.0,4570.0,8.427487278331744,5.081404364984463,0.4444444444444444,0.0350109409190372,4570.0,True,True,False,False,False,True,True
1,3052,1030.0,100.0,360.0,1.0,4082.0,8.314587291319576,4.61512051684126,0.2777777777777778,0.02449779519843214,2041.0,True,True,False,False,False,True,True
2,11417,1126.0,225.0,360.0,1.0,12543.0,9.436997742590188,5.420534999272286,0.625,0.01793829227457546,4181.0,True,True,False,False,False,True,True
0,7333,0.0,120.0,360.0,1.0,7333.0,8.900276348631271,4.795790545596741,0.3333333333333333,0.01636438019909996,7333.0,True,False,True,False,False,False,False
2,3800,3600.0,216.0,360.0,0.0,7400.0,8.909370405197466,5.37989735354046,0.6,0.02918918918918919,2466.6666666666665,True,True,False,False,False,True,False
3,2071,754.0,94.0,480.0,1.0,2825.0,7.946617563244473,4.553876891600541,0.19583333333333333,0.03327433628318584,706.25,True,True,True,False,True,False,True
0,5316,0.0,136.0,360.0,1.0,5316.0,8.57866451350434,4.919980925828125,0.37777777777777777,0.025583145221971408,5316.0,True,False,False,False,False,True,True
0,2929,2333.0,139.0,360.0,1.0,5262.0,8.56845648535378,4.941642422609304,0.3861111111111111,0.026415811478525276,5262.0,False,True,False,False,True,False,True
0,3572,4114.0,152.0,360.0,0.0,7686.0,8.947285869349132,5.030437921392435,0.4222222222222222,0.019776216497527973,7686.0,True,True,True,False,False,False,False
1,7451,0.0,128.0,360.0,1.0,7451.0,8.916237731721479,4.859812404361672,0.35555555555555557,0.01717890216078379,3725.5,False,False,False,True,True,False,True
0,5050,0.0,118.0,360.0,1.0,5050.0,8.527341522468053,4.77912349311153,0.3277777777777778,0.023366336633663366,5050.0,True,False,False,False,True,False,True
1,14583,0.0,185.0,180.0,1.0,14583.0,9.5876803163585,5.225746673713202,1.0277777777777777,0.012686004251525749,7291.5,True,True,False,False,False,False,True
0,3167,2283.0,154.0,360.0,1.0,5450.0,8.603554357064281,5.043425116919247,0.42777777777777776,0.028256880733944955,5450.0,False,True,False,False,True,False,True
1,2214,1398.0,85.0,360.0,1.0,3612.0,8.19229373114764,4.454347296253507,0.2361111111111111,0.02353266888150609,1806.0,True,True,False,False,False,True,True
0,5568,2142.0,175.0,360.0,1.0,7710.0,8.95040315983296,5.170483995038151,0.4861111111111111,0.022697795071335927,7710.0,True,True,False,False,False,False,False
0,10408,0.0,259.0,360.0,1.0,10408.0,9.250426095515468,5.560681631015528,0.7194444444444444,0.024884704073789392,10408.0,False,False,False,False,False,True,True
0,5667,2667.0,180.0,360.0,1.0,8334.0,9.028218795184895,5.198497031265826,0.5,0.02159827213822894,8334.0,True,True,False,False,False,False,True
0,4166,0.0,44.0,360.0,1.0,4166.0,8.334951631422454,3.8066624897703196,0.12222222222222222,0.01056168987037926,4166.0,False,False,False,False,True,False,True
0,2137,8980.0,137.0,360.0,0.0,11117.0,9.316320695513415,4.927253685157205,0.38055555555555554,0.01232346856166232,11117.0,False,False,False,False,True,False,True
2,2957,0.0,81.0,360.0,1.0,2957.0,7.992268643270745,4.406719247264253,0.225,0.027392627663172135,985.6666666666666,True,True,False,False,True,False,True
0,4300,2014.0,194.0,360.0,1.0,6314.0,8.750683034784592,5.272999558563747,0.5388888888888889,0.030725372188786824,6314.0,True,True,True,False,False,False,True
0,3692,0.0,93.0,360.0,1.0,3692.0,8.214194414852564,4.543294782270004,0.25833333333333336,0.025189599133261104,3692.0,False,False,False,False,False,False,True
3,23803,0.0,370.0,360.0,1.0,23803.0,10.077608912764743,5.916202062607435,1.0277777777777777,0.015544259127000798,5950.75,True,True,False,False,False,False,True
0,3865,1640.0,128.0,360.0,1.0,5505.0,8.613593685702552,4.859812404361672,0.35555555555555557,0.023251589464123524,5505.0,True,False,False,False,False,False,True
1,10513,3850.0,160.0,180.0,0.0,14363.0,9.572480355345974,5.081404364984463,0.8888888888888888,0.011139734038849823,7181.5,True,True,False,True,False,True,False
0,6080,2569.0,182.0,360.0,1.0,8649.0,9.065314599925925,5.209486152841421,0.5055555555555555,0.021042895132385248,8649.0,True,True,False,False,False,False,False
0,20166,0.0,650.0,480.0,1.0,20166.0,9.911802884139842,6.478509642208569,1.3541666666666667,0.03223247049489239,20166.0,True,False,False,True,False,True,True
0,2014,1929.0,74.0,360.0,1.0,3943.0,8.279950715722526,4.31748811353631,0.20555555555555555,0.018767435962465127,3943.0,True,False,False,False,False,True,True
0,2718,0.0,70.0,360.0,1.0,2718.0,7.908019444632471,4.2626798770413155,0.19444444444444445,0.025754231052244298,2718.0,True,False,False,False,True,False,True
0,3459,0.0,25.0,120.0,1.0,3459.0,8.14902386805177,3.258096538021482,0.20833333333333334,0.007227522405319456,3459.0,True,True,False,True,True,False,True
0,4895,0.0,102.0,360.0,1.0,4895.0,8.496173824192162,4.634728988229636,0.2833333333333333,0.020837589376915218,4895.0,True,False,False,False,True,False,True
3,4000,7750.0,290.0,360.0,1.0,11750.0,9.371693622333941,5.673323267171493,0.8055555555555556,0.02468085106382979,2937.5,True,True,False,False,True,False,False
0,4583,0.0,84.0,360.0,1.0,4583.0,8.430327258394575,4.442651256490317,0.23333333333333334,0.0183286057167794,4583.0,False,True,False,False,False,False,False
2,3316,3500.0,88.0,360.0,1.0,6816.0,8.827174771362785,4.48863636973214,0.24444444444444444,0.012910798122065728,2272.0,True,True,False,True,False,True,True
0,14999,0.0,242.0,360.0,0.0,14999.0,9.615805480084347,5.493061443340548,0.6722222222222223,0.016134408960597372,14999.0,True,False,False,False,True,False,False
2,4200,1430.0,129.0,360.0,1.0,5630.0,8.636042325254618,4.867534450455582,0.35833333333333334,0.022912966252220248,1876.6666666666667,True,True,True,False,False,False,False
2,5042,2083.0,185.0,360.0,1.0,7125.0,8.871505346165781,5.225746673713202,0.5138888888888888,0.025964912280701753,2375.0,True,True,False,False,False,False,False
0,5417,0.0,168.0,360.0,1.0,5417.0,8.59748202264504,5.1298987149230735,0.4666666666666667,0.031013476093778844,5417.0,True,False,False,False,False,True,True
0,6950,0.0,175.0,180.0,1.0,6950.0,8.846640813100485,5.170483995038151,0.9722222222222222,0.025179856115107913,6950.0,True,False,False,True,True,False,True
0,2698,2034.0,122.0,360.0,1.0,4732.0,8.462314529906248,4.812184355372417,0.3388888888888889,0.02578191039729501,4732.0,True,True,False,False,True,False,True
2,11757,0.0,187.0,180.0,1.0,11757.0,9.3722891389622,5.236441962829949,1.038888888888889,0.01590541804882198,3919.0,True,True,False,False,False,True,True
0,2330,4486.0,100.0,360.0,1.0,6816.0,8.827174771362785,4.61512051684126,0.2777777777777778,0.014671361502347418,6816.0,False,True,False,False,True,False,True
2,14866,0.0,70.0,360.0,1.0,14866.0,9.60689927061335,4.2626798770413155,0.19444444444444445,0.0047087313332436435,4955.333333333333,False,True,False,False,False,True,True
1,1538,1425.0,30.0,360.0,1.0,2963.0,7.994294986415977,3.4339872044851463,0.08333333333333333,0.010124873439082012,1481.5,True,True,False,False,False,True,True
0,10000,1666.0,225.0,360.0,1.0,11666.0,9.364519622823858,5.420534999272286,0.625,0.019286816389507973,11666.0,False,False,False,False,False,False,False
0,4860,830.0,125.0,360.0,1.0,5690.0,8.646641258603124,4.836281906951478,0.3472222222222222,0.021968365553602813,5690.0,True,True,False,False,True,False,True
0,6277,0.0,118.0,360.0,0.0,6277.0,8.744806737401898,4.77912349311153,0.3277777777777778,0.018798789230524134,6277.0,True,False,False,False,False,False,False
0,2577,3750.0,152.0,360.0,1.0,6327.0,8.75273950944749,5.030437921392435,0.4222222222222222,0.024024024024024024,6327.0,True,True,False,True,False,False,True
0,9166,0.0,244.0,360.0,1.0,9166.0,9.123365357961776,5.501258210544727,0.6777777777777778,0.026620117826751038,9166.0,True,False,False,False,False,True,False
2,2281,0.0,113.0,360.0,1.0,2281.0,7.732807530422021,4.736198448394496,0.3138888888888889,0.049539675580885574,760.3333333333334,True,True,True,False,False,False,False
0,3254,0.0,50.0,360.0,1.0,3254.0,8.08794755464267,3.9318256327243257,0.1388888888888889,0.015365703749231715,3254.0,True,False,False,False,False,True,True
3,39999,0.0,600.0,180.0,0.0,39999.0,10.596634733096073,6.398594934535208,3.3333333333333335,0.015000375009375235,9999.75,True,True,False,False,True,False,True
1,6000,0.0,160.0,360.0,1.0,6000.0,8.699681400989514,5.081404364984463,0.4444444444444444,0.02666666666666667,3000.0,True,True,False,False,False,False,True
1,9538,0.0,187.0,360.0,1.0,9538.0,9.163143937145207,5.236441962829949,0.5194444444444445,0.019605787376808556,4769.0,True,True,False,False,False,True,True
0,2980,2083.0,120.0,360.0,1.0,5063.0,8.529911963824013,4.795790545596741,0.3333333333333333,0.023701362828362632,5063.0,True,False,False,False,False,False,True
0,4583,5625.0,255.0,360.0,1.0,10208.0,9.231024963169016,5.545177444479562,0.7083333333333334,0.02498040752351097,10208.0,True,True,False,False,True,False,True
0,1863,1041.0,98.0,360.0,1.0,2904.0,7.974188669286011,4.59511985013459,0.2722222222222222,0.0337465564738292,2904.0,True,True,True,False,True,False,True
0,7933,0.0,275.0,360.0,1.0,7933.0,8.978912601074276,5.62040086571715,0.7638888888888888,0.03466532207235598,7933.0,True,True,False,False,False,True,False
1,3089,1280.0,121.0,360.0,0.0,4369.0,8.382518288089635,4.804021044733257,0.33611111111111114,0.027695124742504004,2184.5,True,True,False,False,True,False,False
2,4167,1447.0,158.0,360.0,1.0,5614.0,8.633196867172543,5.0689042022202315,0.4388888888888889,0.028143925899536872,1871.3333333333333,True,True,False,False,False,False,True
0,9323,0.0,75.0,180.0,1.0,9323.0,9.140347000155648,4.330733340286331,0.4166666666666667,0.008044620830204869,9323.0,True,True,False,False,False,True,True
0,3707,3166.0,182.0,360.0,1.0,6873.0,8.835501457409778,5.209486152841421,0.5055555555555555,0.02648043067074058,6873.0,True,True,False,False,False,False,True
0,4583,0.0,112.0,360.0,1.0,4583.0,8.430327258394575,4.727387818712341,0.3111111111111111,0.02443814095570587,4583.0,False,True,False,False,False,False,False
0,2439,3333.0,129.0,360.0,1.0,5772.0,8.660947155060933,4.867534450455582,0.35833333333333334,0.02234927234927235,5772.0,True,True,False,False,False,False,True
0,2237,0.0,63.0,480.0,0.0,2237.0,7.71333788887187,4.1588830833596715,0.13125,0.028162717925793473,2237.0,True,False,False,False,True,False,False
2,8000,0.0,200.0,360.0,1.0,8000.0,8.987321812850125,5.303304908059076,0.5555555555555556,0.025,2666.6666666666665,True,True,False,False,True,False,True
0,1820,1769.0,95.0,360.0,1.0,3589.0,8.185907481482324,4.564348191467836,0.2638888888888889,0.026469768737809974,3589.0,True,True,True,False,False,False,True
3,51763,0.0,700.0,300.0,1.0,51763.0,10.85445020594156,6.55250788703459,2.3333333333333335,0.013523172922744044,12940.75,True,True,False,False,False,True,True
